sr_no,route_type,ip1_co_built,dn_recipient,project_name,route_id_site_id,uid,build_type,category_type,survey_id,po_number,po_length,parent_route,ce_route_lmc_id,route_lmc_section_id,route_lmc_subsection_id,application_number,application_length_mtr,application_date,from_location,to_location,authority,ward,dn_number,dn_length_mtr,dn_received_date,trench_type,ot_length,surface,surface_wise_ri_amount,dn_ri_amount,surface_wise_multiplication_factor,ground_rent,administrative_charge,supervision_charges,chamber_fee,gst,ri_budget_amount_per_meter,projected_budget_ri_amount_dn,actual_total_non_refundable,non_refundable_amount_per_mtr,proj_non_refundable_savings_per_mtr,deposit,total_dn_amount,new_revised_dn_number,new_revised_dn_against,internal_approval_start,internal_approval_end,ticket_raised_date,dn_payment_date,tat_days,civil_completion_date,hdd_length,no_of_pits,pit_ri_rate,proj_savings_per_dn,surface_wise_length,road_name,permission_receipt_date,permit_no,permit_start_date,permit_end_date,permitted_length_by_ward_mts
1034,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route13,Mumbai_Coverage_Route13,New-build,Non-Strategic,,10004545.0,3030.0,,MUMU26RC013,,,Airtel/OSP/2025-26/HDD/Kalyan/Mumbai_Coverage_Route13.3/570 Mtrs,570.0,,Near Hotel Maintals Restaurant,Near KDMC Garden,KDMC,KD,KDMC/KA/Const./177,570.0,,HDD,,Asphalt,12326.5,295836.0,1,114000.0,0.0,44375.4,0.0,0.0,11600.0,6612000.0,454211.4,796.8621052631579,10803.137894736843,29583.600000000002,483795.0,,,,,,,,,570.0,,,,,,,,,,
804,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route39,Mumbai_Coverage_Route39,New-build,Non-Strategic,,10004578.0,2200.0,,MUMU26RC039,,,Airtel/OSP/2025-26/OT/Kalyan/Mumabi_Coverage_39.5/672 Mtrs,672.0,,NEAR KANGARO KIDS INTERNATIONAL SCHOOL,NEAR NEPTUNE ACCIDENT TRAUMA & BURN CENTER,KDMC,F,KDMC/KA/Const./180,672.0,,OT,672.0,Asphalt/PB/CC,12326.53/9269.27/12072.13,8193879.36,,134400.0,0.0,1229081.9,0.0,0.0,11600.0,7795200.0,9557361.26,14222.2637797619,2622.263779761905,819387.84,2182869.84,,,,,,,,,,,,,,SHANKARA NAGAR ROAD,,,,,
803,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route39,Mumbai_Coverage_Route39,New-build,Non-Strategic,,10004578.0,2200.0,,MUMU26RC039,,,Airtel/OSP/2025-26/OT/Kalyan/Mumabi_Coverage_39.4/510 Mtrs,510.0,,NEAR KAMESHWAR MAHADEV MANDIR,NEAR KANGARO KIDS INTERNATIONAL SCHOOL,KDMC,F,KDMC/KA/Const./181,510.0,,OT,510.0,Asphalt/PB/CC,12326.53/9269.27/12072.13,6156786.3,,102000.0,0.0,923517.95,0.0,0.0,11600.0,5916000.0,7182304.25,14082.94950980392,2482.949509803922,615678.63,7797982.88,,,,,,,,,,,,,,REGENCY ESTATE ROAD,,,,,
801,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route31,Mumbai_Coverage_Route31,New-build,Non-Strategic,,10004578.0,2200.0,,MUMU26RC031,,,Airtel/OSP/2025-26/OT/Kalyan/Mumabi_Coverage_31.4/353 Mtrs,353.0,,NEAR GAJ BANDHAN CHSL,NEAR OM SAI VIHAR,KDMC,F,KDMC/KA/Const./182,353.0,,OT,353.0,Asphalt,12326.53,4351265.09,,70600.0,0.0,652689.76,0.0,0.0,11600.0,4094800.0,5074554.85,14375.50949008499,2775.509490084985,435126.51,5509681.36,,,,,,,,,,,,,,PATHARLI ROAD,,,,,
802,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route31,Mumbai_Coverage_Route31,New-build,Non-Strategic,,10004578.0,2200.0,,MUMU26RC031,,,Airtel/OSP/2025-26/OT/Kalyan/Mumabi_Coverage_31.3/254 Mtrs,254.0,,NEAR NAV RAM DARSHAN BUILDING,NEAR GAJ BANDHAN CHSL,KDMC,F,KDMC/KA/Const./183,254.0,,Open Trench,254.0,Asphalt/PB/CC,12326.53/9269.27/12072.13,2647396.12,,50800.0,0.0,397109.42,0.0,0.0,11600.0,2946400.0,3095305.54,12186.24228346457,586.2422834645677,264739.61,3360045.15,,,,,,,,,,,,,,JIJAI NAGAR ROAD & AMBIKA NAGAR ROAD,,,,,
1086,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route21,Mumbai_Coverage_Route21,New-build,Non-Strategic,,10004564.0,2000.0,,MUMU26RC021,,,Airtel/OSP/2025-26/OT/Kalyan/Mumbai_Coverage_Route21.2/640 Mtrs,640.0,,Near Gopinath Chowk,Near Sai Vaibhav Paradise,KDMC,H,KDMC/KA/Const./189,640.0,,OT,640.0,Asphalt,12326.53,7888979.2,1,128000.0,0.0,1183346.88,0.0,0.0,11600.0,7424000.0,9200326.08,14375.5095,-2775.5095,788897.92,9989224.0,,,,,,,,,,,,,,,,,,,
1087,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route21,Mumbai_Coverage_Route21,New-build,Non-Strategic,,10004564.0,2000.0,,MUMU26RC021,,,Airtel/OSP/2025-26/OT/Kalyan/Mumbai_Coverage_Route21.1/970 Mtrs,970.0,,Near Atithi Hotel,Near Gopinath Chowk,KDMC,H,KDMC/KA/Const./191,970.0,,OT,970.0,Asphalt,12326.53,11956734.100000001,1,194000.0,0.0,1793510.1150000002,0.0,0.0,11600.0,11252000.0,13944244.215000002,14375.509500000002,-2775.509500000002,1195673.4100000001,15139917.625000002,,,,,,,,,,,,,,,,,,,
33,"LMC routes (stand alone) ",Co-Built,Airtel,Mumbai Fiber Refresh Project,MB1585,MU-MB1585,New-build,Non-Strategic,,10004873.0,112.0,,MUMU25FL011,MUMU25FL011KDWA,MUMU25FL011KDWA250424D3C3L0017,Airtel/OSP/2025-26/Open Trench/KDMC/MB-1585/130 Mtrs,130.0,2024-04-24,BHIWANDI MURBAD ROAD,SHREE GANESH VANDAN BUILDING,KDMC,A,KMDC/KA/Const./25,130.0,,,,,9269.27,1205005.1,,26000.0,0.0,180750.76,,,11600.0,1508000.0,1411755.86,10859.66046153846,740.3395384615378,120500.51,1532256.37,,,2025-05-06,2025-05-07,2025-05-06,,-45784,,,,,,,,,,,,
36,"LMC routes (stand alone) ",Co-Built,Airtel,Mumbai Fiber Refresh Project,MA1048,MU-MA1048,New-build,Non-Strategic,,10004830.0,280.0,,MUMU25FL012,MUMU25FL012KDWB,MUMU25FL012KDWB250418D3C3L0020,Airtel / MBMC /OSP/2025-26/OPEN TRENCH/KDMC/MA-1048/127 Mtrs,127.0,2024-04-18,Khadkapada Road,Reliance Digital Building,KDMC,B,KMDC/KA/Const./26,127.0,2025-05-02,Open Trench,,Paver Block,9269.27,1177197.29,,25400.0,0.0,176579.59,,,11600.0,1473200.0,1379176.88,10859.66047244095,740.3395275590537,117719.729,1496896.609,,,2025-05-06,2025-05-07,2025-05-20,,-45784,,,,,,,,,,,,
34,Route LM,Co-Built,Airtel,Mumbai Fiber Refresh Project,MA2218,MU-MA2218,New-build,Non-Strategic,,10004521.0,20.0,MUMU25RC07,MUMU25NL008,MUMU25NL008KDWA,MUMU25NL008KDWA250429D3C3L0004,Airtel/OSP/2025-26/Open Trench/KDMC/MA-2218/20 Mtrs,20.0,,,,KDMC,KDMC,KMDC/KA/Const./27,20.0,,,,,9269.27,185385.4,,4000.0,0.0,27807.81,,,11600.0,232000.0,217193.21,10859.6605,740.3394999999982,18538.54,235731.75,,,2025-05-06,2025-05-07,2025-04-11,2025-05-14,7,,,,,,,,,,,,
35,Route LM,Co-Built,Airtel,Mumbai Fiber Refresh Project,MB1589,MU-MB1589,New-build,Non-Strategic,,10004521.0,90.0,MUMU25RC07,MUMU25NL009,MUMU25NL009KDWA,MUMU25NL009KDWA250429D3C3L0001,Airtel/OSP/2025-26/Open Trench/KDMC/MB-1589/75 Mtrs,75.0,,,,KDMC,KDMC,KMDC/KA/Const./28,75.0,,,,,9269.27,695195.25,,15000.0,0.0,104279.28,,,11600.0,870000.0,814474.53,10859.6604,740.3395999999993,69519.52,883994.05,,,2025-05-06,2025-05-07,2025-05-07,2025-05-14,7,,,,,,,,,,,,
7,DC Route,IP-1,CE,Mumbai Fiber Refresh Project,MUM_Route_48,MUM_Route_48,Sify - Common,Strategic,AIR52K24R048008,10004681.0,3300.0,,MUMU25R048,MUMUR048NMKK,MUMUR048NMKK250220D4C5L0010,ETIPL/OSP/Koperkhairne MIDC/HDD/2024-25/02,820.0,2025-03-18,"Gami Industrial Park Pawne ","Ashwini Infra Development ","NMMC ",KK,NMMC/Z-2/264/2025,820.0,2025-03-18,Open Trench/HDD,820.0,Asphalt,9600,624000.0,,164000.0,0.0,93600.0,,,3000.0,2460000.0,881600.0,1075.121951219512,1924.878048780488,71760.0,953360.0,,,2025-03-25,2025-04-01,2025-04-05,2025-04-09,8,,,,,,,,,,,,
6,DC Route,IP-1,CE,Mumbai Fiber Refresh Project,MUM_Route_48,MUM_Route_48,Sify - Common,Strategic,AIR52K24R048008,10004681.0,3300.0,,MUMU25R048,MUMUR048NMKK,MUMUR048NMKK250220D4C5L0011,ETIPL/OSP/Koperkhairne MIDC/HDD/2024-25/01,975.0,2025-03-18,"TTC Industrial area Bharti Airtel Office ","Gami Industrial Park Pawne ","NMMC ",KK,NMMC/Z-2/265/2025,975.0,2025-03-18,Open Trench/HDD,975.0,Asphalt,9600,624000.0,,195000.0,0.0,93600.0,,,3000.0,2925000.0,912600.0,936.0,2064.0,71760.0,984360.0,,,2025-03-25,2025-04-01,,2025-04-09,8,,,,,,,,,,,,
8,DC Route,IP-1,CE,Mumbai Fiber Refresh Project,MUM_Route_48,MUM_Route_48,Sify - Common,Strategic,AIR52K24R048008,10004681.0,3300.0,,MUMU25R048,MUMUR048NMKK,MUMUR048NMKK250220D4C5L0009,ETIPL/OSP/Koperkhairne MIDC/HDD/2024-25/03,825.0,2025-03-18,"Ashwini Infra Development ","CTRL S Data Center ",NMMC,KK,NMMC/Z-2/266/2025,825.0,2025-03-18,Open Trench/HDD,825.0,Asphalt,9600,624000.0,,165000.0,0.0,93600.0,,,3000.0,2475000.0,882600.0,1069.818181818182,1930.181818181818,71760.0,954360.0,,,2025-03-25,2025-04-01,2025-04-28,2025-04-09,8,,,,,,,,,,,,
937,DC Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,MUM_Route_49,MUM_Route_49,New-build,Strategic,,10004665.0,2800.0,,MUMU26R049,,,Airtel/OSP/2025-26/HDD+OT/NMMC-Z-II/MUM_Coverage_Route49.3/189 Mtrs,189.0,,NAER PLOT NO W 145C,NEAR NISC,NMMC,KK,NMMC/Z-2/962/2025,189.0,,Open Trench/HDD,189.0,Asphalt,9600,1695292.0,0,37800.0,0.0,0.0,0.0,0.0,6952.0,1313928.0,1733092.0,9169.79,2217.790000000001,169529.2,1902621.2,,,,,,,,,,,,,,Pawane Village Road,,,,,
1141,DC Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,MUM_Route_49,MUM_Route_49,New-build,Strategic,,10004665.0,2800.0,,MUMU26R049,,,Airtel/OSP/2025-26/HDD+OT/NMMC-Z-II/MUM_Coverage_Route49.3/931 Mtrs,931.0,,"Near Eco Friend Industries ",Near Plot No-W-145C,NMMC,KK,NMMC/Z-2/963/2025,931.0,,Open Trench/HDD,120.0,Asphat/CC,9600,3149612.0,1,186200.0,0.0,0.0,0.0,0.0,9600.0,8937600.0,3335812.0,3583.041890440387,6016.958109559613,314961.2,3650773.2,,,,,,,,,811.0,,,,,,,,,,
1142,DC Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,MUM_Route_49,MUM_Route_49,New-build,Strategic,,10004665.0,2800.0,,MUMU26R049,,,Airtel/OSP/2025-26/HDD+OT/NMMC-Z-II/MUM_Coverage_Route49.4/498 Mtrs,498.0,,Near NISC,Near Nextra Mahape,NMMC,KK,NMMC/Z-2/964/2025,498.0,,Open Trench/HDD,167.0,Asphat/CC,9600,3682178.0,1,99600.0,0.0,0.0,0.0,0.0,9600.0,4780800.0,3781778.0,7593.931726907631,2006.068273092369,368217.80000000005,4149995.8,,,,,,,,,331.0,,,,,,,,,,
38,Route LM,Co-Built,Airtel,Mumbai Fiber Refresh Project,MB3667,MU-MB3667,New-build,Non-Strategic,,10004772.0,280.0,MUMU25R050,MUMU25NL011,MUMU25NL011NIMI,MUMU25NL011NIMI250418D3C3L0022,"MIDC-DIV-2/OSP/2025-26/AIRTEL/MB-3667/130 MTRS ",130.0,2024-04-18,,,MIDC,MIDC,No.EE/Dn.II/MHP/Eoffice/I/I113922,130.0,2025-05-19,Open Trench,,Hard Side Shoulder,,63000.0,,400.0,0.0,0.0,,11412.0,11107.0,1443910.0,63400.0,487.6923076923077,10619.30769230769,25000.0,99812.0,,,2025-05-20,2025-05-20,,2025-05-27,7,,,,,,,,,,,,
37,Route LM,Co-Built,Airtel,Mumbai Fiber Refresh Project,MA2181,MU-MA2181,New-build,Non-Strategic,,10004772.0,400.0,MUMU25R050,MUMU25NL010,MUMU25NL010NIMI,MUMU25NL010NIMI250418D3C3L0021,MIDC-DIV-2/OSP/2025-26/AIRTEL/PLOT NO-PAP-R-343/375 MTRS,375.0,2024-04-18,,,MIDC,MIDC,No.EE/Dn.II/MHP/Eoffice/I/I113925,375.0,2025-05-19,Open Trench,,Hard Side Shoulder,,181500.0,,1200.0,0.0,0.0,,32886.0,11849.0,4443375.0,182700.0,487.2,11361.8,50000.0,265586.0,,,2025-05-20,2025-05-20,2025-04-28,2025-05-27,7,,,,,,,,,,,,
40,"LMC routes (stand alone) ",Co-Built,Airtel,Mumbai Fiber Refresh Project,MB1608,MU-MB1608,New-build,Non-Strategic,,10004869.0,56.0,,MUMU25FL012,MUMU25FL012MBMB,MUMU25FL012MBMB250411D3C3L0001,Airtel / MBMC /OSP/2025-26/OT/ Arihant “B” CHSL /124 Mtrs,124.0,2024-04-11,Radha Krishna Hotel,Arihant “B” CHSL,MBMC,MBMC,NO.MBMC/PWD/1014/64/2025-26,124.0,2025-04-30,Open Trench,,Asphalt Road,9600,1190400.0,,24800.0,0.0,0.0,,218736.0,4500.0,558000.0,1215200.0,9800.0,-5300.0,119040.0,1552976.0,,,,,2025-04-24,,0,,,,,,,,,,,,
