sr_no,route_type,ip1_co_built,dn_recipient,project_name,route_id_site_id,uid,build_type,category_type,survey_id,po_number,po_length,parent_route,ce_route_lmc_id,route_lmc_section_id,route_lmc_subsection_id,application_number,application_length_mtr,application_date,from_location,to_location,authority,ward,dn_number,dn_length_mtr,dn_received_date,trench_type,ot_length,surface,surface_wise_ri_amount,dn_ri_amount,surface_wise_multiplication_factor,ground_rent,administrative_charge,supervision_charges,chamber_fee,gst,ri_budget_amount_per_meter,projected_budget_ri_amount_dn,actual_total_non_refundable,non_refundable_amount_per_mtr,proj_non_refundable_savings_per_mtr,deposit,total_dn_amount,new_revised_dn_number,new_revised_dn_against,internal_approval_start,internal_approval_end,ticket_raised_date,dn_payment_date,tat_days,civil_completion_date,hdd_length,no_of_pits,pit_ri_rate,proj_savings_per_dn,surface_wise_length,road_name,permission_receipt_date,permit_no,permit_start_date,permit_end_date,permitted_length_by_ward_mts
1161,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route35,Mumbai_Coverage_Route35,,Additional Route,,10004963.0,4070.0,Mumbai_Coverage_Route35,MUMU26RC035,,,783349582,75.0,2025-10-11,HIBISCUS WATER SUPPLIER,SHEETAL MEGHDOOT,MCGM,RC,783349582,85.0,2025-10-15,OT,85.0,Bituminous Concrete,10187.00,865895.0,1.00,170.0,85.0,,,,11640.27,989422.97,866150.0,10190.0,1450.27,,866150.0,,,,,,,,,,,,123272.95,85.00,VAN UDYAN ROAD,,,,,
1162,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route35,Mumbai_Coverage_Route35,,Additional Route,,10004963.0,4070.0,Mumbai_Coverage_Route35,MUMU26RC035,,,783349588,40.0,2025-10-11,MAYUR TOWER,VEG TREAT ROYAL HOTEL,MCGM,RC,783349588,50.0,2025-10-15,OT,50.0,PB 80(Only Grey) / Bituminous Concrete,7011.00 / 10187.00,461710.0,1.00 / 1.00,100.0,50.0,,,,11640.27,582013.51,461860.0,9237.2,2403.07,,461860.0,,,,,,,,,,,,120153.5,15.00,EKSAR ROAD,,,,,
1163,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route35,Mumbai_Coverage_Route35,,Additional Route,,10004963.0,4070.0,Mumbai_Coverage_Route35,MUMU26RC035,,,783349589,90.0,2025-10-11,ROYAL EKSAR CHS,OM GAJANAN  KRUPA CHS,MCGM,RC,783349589,103.0,2025-10-15,OT,103.0,Use of Existing Duct / Mastic Asphalt 40 m,2900.00 / 14936.00,1357868.0,0.00 / 1.00,206.0,103.0,,,,11640.27,1198947.84,1358177.0,13186.18,-1545.91,,1358177.0,,,,,,,,,,,,-159228.73,15.00,CHANDAVARKAR ROAD,,,,,
1164,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route35,Mumbai_Coverage_Route35,,Additional Route,,10004963.0,4070.0,Mumbai_Coverage_Route35,MUMU26RC035,,,783349590,95.0,2025-10-11,RAIL NAGAR CHS,KARMA YOG BUILDING NO.4,MCGM,RC,783349590,105.0,2025-10-15,OT,105.0,Mastic Asphalt 40 m,14936.00,1568280.0,1.00,210.0,105.0,,,,11640.27,1222228.38,1568595.0,14939.0,-3298.73,,1568595.0,,,,,,,,,,,,-346366.65,105.00,CHANDAVARKAR ROAD,,,,,
1165,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route35,Mumbai_Coverage_Route35,,Additional Route,,10004963.0,4070.0,Mumbai_Coverage_Route35,MUMU26RC035,,,783349595,90.0,2025-10-11,TRIMURTI KRIPA CHS,VIJAY NAGAR,MCGM,RC,783349595,100.0,2025-10-15,OT,100.0,Bituminous Concrete / Mastic Asphalt 40 m,10187.00 / 14936.00,1066190.0,1.00 / 1.00,200.0,100.0,,,,11640.27,1164027.03,1066490.0,10664.9,975.37,,1066490.0,,,,,,,,,,,,97537.0,90.00,EKSAR ROAD,,,,,
1166,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route35,Mumbai_Coverage_Route35,,Additional Route,,10004963.0,4070.0,Mumbai_Coverage_Route35,MUMU26RC035,,,783349598,90.0,2025-10-11,RUDRA GROUP ISPACE TOWER,MUMBAI MILK CENTRE,MCGM,RC,783349598,100.0,2025-10-15,OT,100.0,Bituminous Concrete,10187.00,1018700.0,1.00,200.0,100.0,,,,11640.27,1164027.03,1019000.0,10190.0,1450.27,,1019000.0,,,,,,,,,,,,145027.0,100.00,EKSAR ROAD,,,,,
1167,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route35,Mumbai_Coverage_Route35,,Additional Route,,10004963.0,4070.0,Mumbai_Coverage_Route35,MUMU26RC035,,,783349599,90.0,2025-10-11,CKP COLONY BUS STOP,RBI SAHAYOG APT,MCGM,RC,783349599,100.0,2025-10-15,OT,100.0,Bituminous Concrete,10187.00,1018700.0,1.00,200.0,100.0,,,,11640.27,1164027.03,1019000.0,10190.0,1450.27,,1019000.0,,,,,,,,,,,,145027.0,100.00,EKSAR ROAD,,,,,
1168,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route35,Mumbai_Coverage_Route35,,Additional Route,,10004963.0,4070.0,Mumbai_Coverage_Route35,MUMU26RC035,,,783349600,90.0,2025-10-11,OM GAJANAN  KRUPA CHS,RAIL NAGAR CHS,MCGM,RC,783349600,100.0,2025-10-15,OT,100.0,Mastic Asphalt 40 m,14936.00,1493600.0,1.00,200.0,100.0,,,,11640.27,1164027.03,1493900.0,14939.0,-3298.73,,1493900.0,,,,,,,,,,,,-329873.0,100.00,CHANDAVARKAR ROAD,,,,,
1169,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route35,Mumbai_Coverage_Route35,,Additional Route,,10004963.0,4070.0,Mumbai_Coverage_Route35,MUMU26RC035,,,783349601,80.0,2025-10-11,RBI SAHAYOG APARTMENT,MAYUR TOWER,MCGM,RC,783349601,90.0,2025-10-15,OT,90.0,Bituminous Concrete,10187.00,916830.0,1.00,180.0,90.0,,,,11640.27,1047624.32,917100.0,10190.0,1450.27,,917100.0,,,,,,,,,,,,130524.3,90.00,EKSAR ROAD,,,,,
1170,Additional Route,Co-Built,Airtel,Mumbai Fiber Refresh Project,Mumbai_Coverage_Route35,Mumbai_Coverage_Route35,,Additional Route,,10004963.0,4070.0,Mumbai_Coverage_Route35,MUMU26RC035,,,783349602,90.0,2025-10-11,VEG TREAT ROYAL HOTEL,ROYAL EKSAR CHS,MCGM,RC,783349602,100.0,2025-10-15,OT,100.0,Mastic Asphalt 40 m,14936.00,1493600.0,1.00,200.0,100.0,,,,11640.27,1164027.03,1493900.0,14939.0,-3298.73,,1493900.0,,,,,,,,,,,,-329873.0,100.00,CHANDAVARKAR ROAD,,,,,
